Date,NAV,Fund,Fund_Type
11-03-2025 00:00,150.9281,ICICI Pru Passive Strategy Fund FOF Dir Gr,Domestic
10-03-2025 00:00,151.2559,ICICI Pru Passive Strategy Fund FOF Dir Gr,Domestic
07-03-2025 00:00,152.2852,ICICI Pru Passive Strategy Fund FOF Dir Gr,Domestic
06-03-2025 00:00,152.3868,ICICI Pru Passive Strategy Fund FOF Dir Gr,Domestic
05-03-2025 00:00,151.0318,ICICI Pru Passive Strategy Fund FOF Dir Gr,Domestic
04-03-2025 00:00,148.8659,ICICI Pru Passive Strategy Fund FOF Dir Gr,Domestic
03-03-2025 00:00,148.8642,ICICI Pru Passive Strategy Fund FOF Dir Gr,Domestic
28-02-2025 00:00,149.2274,ICICI Pru Passive Strategy Fund FOF Dir Gr,Domestic
27-02-2025 00:00,151.6893,ICICI Pru Passive Strategy Fund FOF Dir Gr,Domestic
25-02-2025 00:00,151.873,ICICI Pru Passive Strategy Fund FOF Dir Gr,Domestic
24-02-2025 00:00,152.4216,ICICI Pru Passive Strategy Fund FOF Dir Gr,Domestic
21-02-2025 00:00,153.4393,ICICI Pru Passive Strategy Fund FOF Dir Gr,Domestic
20-02-2025 00:00,154.766,ICICI Pru Passive Strategy Fund FOF Dir Gr,Domestic
19-02-2025 00:00,154.3997,ICICI Pru Passive Strategy Fund FOF Dir Gr,Domestic
18-02-2025 00:00,153.7083,ICICI Pru Passive Strategy Fund FOF Dir Gr,Domestic
17-02-2025 00:00,153.8838,ICICI Pru Passive Strategy Fund FOF Dir Gr,Domestic
14-02-2025 00:00,153.5415,ICICI Pru Passive Strategy Fund FOF Dir Gr,Domestic
13-02-2025 00:00,154.9855,ICICI Pru Passive Strategy Fund FOF Dir Gr,Domestic
12-02-2025 00:00,155.0093,ICICI Pru Passive Strategy Fund FOF Dir Gr,Domestic
11-02-2025 00:00,155.2039,ICICI Pru Passive Strategy Fund FOF Dir Gr,Domestic
10-02-2025 00:00,157.698,ICICI Pru Passive Strategy Fund FOF Dir Gr,Domestic
07-02-2025 00:00,159.0791,ICICI Pru Passive Strategy Fund FOF Dir Gr,Domestic
06-02-2025 00:00,159.3806,ICICI Pru Passive Strategy Fund FOF Dir Gr,Domestic
05-02-2025 00:00,159.7461,ICICI Pru Passive Strategy Fund FOF Dir Gr,Domestic
04-02-2025 00:00,159.3705,ICICI Pru Passive Strategy Fund FOF Dir Gr,Domestic
03-02-2025 00:00,157.237,ICICI Pru Passive Strategy Fund FOF Dir Gr,Domestic
31-01-2025 00:00,158.2841,ICICI Pru Passive Strategy Fund FOF Dir Gr,Domestic
30-01-2025 00:00,156.6179,ICICI Pru Passive Strategy Fund FOF Dir Gr,Domestic
29-01-2025 00:00,155.7489,ICICI Pru Passive Strategy Fund FOF Dir Gr,Domestic
28-01-2025 00:00,154.7914,ICICI Pru Passive Strategy Fund FOF Dir Gr,Domestic
27-01-2025 00:00,154.078,ICICI Pru Passive Strategy Fund FOF Dir Gr,Domestic
24-01-2025 00:00,156.2329,ICICI Pru Passive Strategy Fund FOF Dir Gr,Domestic
23-01-2025 00:00,157.264,ICICI Pru Passive Strategy Fund FOF Dir Gr,Domestic
22-01-2025 00:00,156.83,ICICI Pru Passive Strategy Fund FOF Dir Gr,Domestic
21-01-2025 00:00,156.5795,ICICI Pru Passive Strategy Fund FOF Dir Gr,Domestic
20-01-2025 00:00,158.4116,ICICI Pru Passive Strategy Fund FOF Dir Gr,Domestic
